Id,Label,io,iob,year,field,field2,type,polygon_field,color_field,polygon_io,color_io,color_io2,polygon
1014,UN2006GenComCRC8,UN,CRC,2006,Discrimination,Children,GenCom,6,#d62728,,#1f77b4,#c332e9,3
1015,UN2006GenComCRC9,UN,CRC,2006,Discrimination,Children,GenCom,6,#d62728,,#1f77b4,#c332e9,3
1016,UN2006HRCdec2104,UN,HRC,2006,EcoSoc,,Dec,5,#ff7f0e,,#1f77b4,#7edff1,0
1017,UN2006Res60231,UN,UNGA,2006,Discrimination,Children,Res,6,#d62728,,#1f77b4,#1144a3,0
1018,UN2006Res60251,UN,UNGA,2006,Institution,Institution,Res,,#9467bd,,#1f77b4,#1144a3,0
1019,UN2006Res61143,UN,UNGA,2006,Discrimination,Women,Res,6,#d62728,,#1f77b4,#1144a3,0
1020,UN2006Res61146,UN,UNGA,2006,Discrimination,Children,Res,6,#d62728,,#1f77b4,#1144a3,0
1021,UN2006Res61180,UN,UNGA,2006,Civil,Traffick,Res,4,#1f77b4,,#1f77b4,#1144a3,0
1022,UN2006Res61181,UN,UNGA,2006,NonHR,,Res,,#c7c7c7,,#1f77b4,#1144a3,0
1023,UN2006Res61182,UN,UNGA,2006,Civil,,Res,4,#1f77b4,,#1f77b4,#1144a3,0
1024,UN2006Res61185,UN,UNGA,2006,NonHR,NonHR-Institutions,Res,,#c7c7c7,,#1f77b4,#1144a3,0
1025,UN2006Res61192,UN,UNGA,2006,NonHR,NonHR-Institutions,Res,,#c7c7c7,,#1f77b4,#1144a3,0
1026,UN2006Res61209,UN,UNGA,2006,NonHR,,Res,,#c7c7c7,,#1f77b4,#1144a3,0
1027,UN2006Res61252,UN,UNGA,2006,NonHR,,Res,,#c7c7c7,,#1f77b4,#1144a3,0
1028,UN2007DecIndigenous,UN,UNGA,2007,Community,Minority,Decl,7,#8c564b,,#1f77b4,#1144a3,0
1029,UN2007GenComCAT2,UN,CAT,2007,Civil,PhysInt,GenCom,4,#1f77b4,,#1f77b4,#5b0e87,3
1030,UN2007GenComCCPR32,UN,CCPR,2007,Civil,,GenCom,4,#1f77b4,,#1f77b4,#2a2a24,3
1031,UN2007GenComCESCR19,UN,CESCR,2007,EcoSoc,SocSec,GenCom,5,#ff7f0e,,#1f77b4,#88540e,3
1032,UN2007GenComCRC10,UN,CRC,2007,Discrimination,Children,GenCom,6,#d62728,,#1f77b4,#c332e9,3
1033,UN2007HRCouncRes51,UN,HRC,2007,Institution,,Res,,#9467bd,,#1f77b4,#7edff1,0
